,mean_7405f,min_7405f,max_7405f,mean_7078,min_7078,max_7078,mean_5599,min_5599,max_5599,mean_5351,min_5351,max_5351,mean_7289,min_7289,max_7289
18,0.0,0.0,0.0,1180.2171012798049,1180.2171012798049,1180.2171012798049,187.46721567170795,187.46721567170795,187.46721567170795,516.6032476946948,516.6032476946948,516.6032476946948,244.42578209360553,244.42578209360553,244.42578209360553
19,0.0,0.0,0.0,1200.4695648829504,1200.4695648829504,1200.4695648829504,187.07955848612474,187.07955848612474,187.07955848612474,517.4674710900749,517.4674710900749,517.4674710900749,245.38914568649614,245.38914568649614,245.38914568649614
20,0.0,0.0,0.0,1193.7284850274375,1193.7284850274375,1193.7284850274375,186.69710632732816,186.69710632732816,186.69710632732816,518.2706809797602,518.2706809797602,518.2706809797602,243.52684965908037,243.52684965908037,243.52684965908037
21,0.0,0.0,0.0,1181.068062478947,1181.068062478947,1181.068062478947,186.32158454315322,186.32158454315322,186.32158454315322,519.0400082439521,519.0400082439521,519.0400082439521,243.2408701598673,243.2408701598673,243.2408701598673
22,0.0,0.0,0.0,1200.1592471924682,1200.1592471924682,1200.1592471924682,185.97817491289413,185.97817491289413,185.97817491289413,519.7811445982338,519.7811445982338,519.7811445982338,244.0872112141368,244.0872112141368,244.0872112141368
23,0.0,0.0,0.0,1197.784886867363,1197.784886867363,1197.784886867363,185.6477270680253,185.6477270680253,185.6477270680253,520.4671554154233,520.4671554154233,520.4671554154233,243.77317550147373,243.77317550147373,243.77317550147373
24,0.0,0.0,0.0,1161.3436394598625,1161.3436394598625,1161.3436394598625,185.19709030325276,185.19709030325276,185.19709030325276,518.6993893073044,518.6993893073044,518.6993893073044,242.68840976752585,242.68840976752585,242.68840976752585
25,0.0,0.0,0.0,1137.1181097690303,1137.1181097690303,1137.1181097690303,184.62936632949356,184.62936632949356,184.62936632949356,515.2939834273193,515.2939834273193,515.2939834273193,241.80556237381558,241.80556237381558,241.80556237381558
26,0.0,0.0,0.0,1139.3963428420193,1139.3963428420193,1139.3963428420193,184.2021867586764,184.2021867586764,184.2021867586764,512.838068617802,512.838068617802,512.838068617802,241.76237820196945,241.76237820196945,241.76237820196945
27,0.0,0.0,0.0,1162.6885063571171,1162.6885063571171,1162.6885063571171,183.30988799332633,183.30988799332633,183.30988799332633,511.9725611209454,511.9725611209454,511.9725611209454,231.2244095801346,231.2244095801346,231.2244095801346
28,0.0,0.0,0.0,1167.4557064518306,1167.4557064518306,1167.4557064518306,183.0320370420815,183.0320370420815,183.0320370420815,510.73012456838774,510.73012456838774,510.73012456838774,241.28618307742778,241.28618307742778,241.28618307742778
29,0.0,0.0,0.0,1169.4261691066185,1169.4261691066185,1169.4261691066185,182.74823269847457,182.74823269847457,182.74823269847457,510.00791857633385,510.00791857633385,510.00791857633385,239.82272424407165,239.82272424407165,239.82272424407165
30,0.0,0.0,0.0,1158.6707286219485,1158.6707286219485,1158.6707286219485,182.40972424403512,182.40972424403512,182.40972424403512,510.7979804825233,510.7979804825233,510.7979804825233,239.1169076292938,239.1169076292938,239.1169076292938
31,0.0,0.0,0.0,1186.6489030366245,1186.6489030366245,1186.6489030366245,182.10211438215524,182.10211438215524,182.10211438215524,511.48847043811475,511.48847043811475,511.48847043811475,239.40859870083938,239.40859870083938,239.40859870083938
32,0.0,0.0,0.0,1185.6535982663884,1185.6535982663884,1185.6535982663884,181.83513812910624,181.83513812910624,181.83513812910624,512.1389848545593,512.1389848545593,512.1389848545593,239.51392026920365,239.51392026920365,239.51392026920365
33,0.0,0.0,0.0,1249.4386946372492,1249.4386946372492,1249.4386946372492,181.5970097299559,181.5970097299559,181.5970097299559,512.748982708988,512.748982708988,512.748982708988,239.2970822548786,239.2970822548786,239.2970822548786
34,0.0,0.0,0.0,1359.3421029220979,1359.3421029220979,1359.3421029220979,181.47843763262938,181.47843763262938,181.47843763262938,513.2956476362816,513.2956476362816,513.2956476362816,240.2893253181532,240.2893253181532,240.2893253181532
35,0.0,0.0,0.0,1341.3343823004288,1341.3343823004288,1341.3343823004288,181.36082718554545,181.36082718554545,181.36082718554545,513.7574284202854,513.7574284202854,513.7574284202854,239.55963870589,239.55963870589,239.55963870589
36,0.0,0.0,0.0,1325.7937854098282,1325.7937854098282,1325.7937854098282,181.24957279381061,181.24957279381061,181.24957279381061,514.2510583228387,514.2510583228387,514.2510583228387,238.19005033375416,238.19005033375416,238.19005033375416
37,0.0,0.0,0.0,1309.5317211336398,1309.5317211336398,1309.5317211336398,181.15754974569066,181.15754974569066,181.15754974569066,514.7080865134121,514.7080865134121,514.7080865134121,238.60824229642162,238.60824229642162,238.60824229642162
38,0.0,0.0,0.0,1284.6912373038658,1284.6912373038658,1284.6912373038658,180.95987762012783,180.95987762012783,180.95987762012783,515.343193418988,515.343193418988,515.343193418988,237.7625436394672,237.7625436394672,237.7625436394672
39,0.0,0.0,0.0,1262.3130969257097,1262.3130969257097,1262.3130969257097,180.7604134259398,180.7604134259398,180.7604134259398,515.9502455384082,515.9502455384082,515.9502455384082,237.69978040224956,237.69978040224956,237.69978040224956
40,0.0,0.0,0.0,1240.6394213201716,1240.6394213201716,1240.6394213201716,180.5457985879729,180.5457985879729,180.5457985879729,516.4519209343034,516.4519209343034,516.4519209343034,236.83709687778156,236.83709687778156,236.83709687778156
41,0.0,0.0,0.0,1160.0627339267828,1160.0627339267828,1160.0627339267828,180.39862829957082,180.39862829957082,180.39862829957082,513.3040971889586,513.3040971889586,513.3040971889586,236.17356436201698,236.17356436201698,236.17356436201698
